dataset,group,query_no,query,tsunami_ms,tsunami_answer,numpy_ms,numpy_answer,zorder_ms,zorder_answer,bruteforce_ms,bruteforce_answer,speedup_x,scan_pct,match
california_real,B_far,12,SELECT COUNT(*) FROM data WHERE place = 'Irvine' AND MedInc >= 9.0,18.7529,1559.0,184.4916,1559,81.8529,1559,177.592,1559.0,9.47,7.1,PASS
california_real,B_far,13,SELECT COUNT(*) FROM data WHERE place = 'Los Angeles' AND MedInc BETWEEN 4.0 AND 7.0,108.9046,278025.0,174.1345,278025,118.2459,278025,156.5853,278025.0,1.44,28.05,PASS
california_real,B_far,14,SELECT COUNT(*) FROM data WHERE place = 'Los Angeles' AND MedInc BETWEEN 7.0 AND 11.0,96.2005,50283.0,183.4328,50283,127.0641,50283,153.8966,50283.0,1.6,28.05,PASS
california_real,B_far,15,SELECT COUNT(*) FROM data WHERE place = 'Irvine' AND MedInc BETWEEN 5.0 AND 9.0,23.3821,9805.0,169.1829,9805,106.1935,9805,166.0162,9805.0,7.1,7.1,PASS
california_real,B_far,16,SELECT COUNT(*) FROM data WHERE place = 'Chula Vista' AND MedInc BETWEEN 6.0 AND 12.0,20.2641,725.0,164.5768,725,104.0058,725,161.2354,725.0,7.96,7.1,PASS
california_real,B_far,17,SELECT COUNT(*) FROM data WHERE place = 'Los Angeles' AND MedInc BETWEEN 5.0 AND 10.0,96.4289,182548.0,188.5229,182548,122.8818,182548,171.0981,182548.0,1.77,28.05,PASS
california_real,B_far,18,SELECT COUNT(*) FROM data WHERE place = 'Los Angeles' AND MedHouseVal >= 3.0,73.8678,182357.0,187.3774,182357,30.8387,182357,171.4638,182357.0,2.32,21.99,PASS
california_real,B_far,19,SELECT COUNT(*) FROM data WHERE place = 'Los Angeles' AND MedHouseVal >= 4.0,49.3562,87823.0,175.6996,87823,16.2852,87823,156.9275,87823.0,3.18,15.22,PASS
california_real,B_far,20,SELECT COUNT(*) FROM data WHERE place = 'Irvine' AND MedHouseVal >= 3.5,12.6682,4914.0,187.6061,4914,19.7788,4914,173.5064,4914.0,13.7,5.03,PASS
california_real,B_far,21,SELECT COUNT(*) FROM data WHERE place = 'Chula Vista' AND MedHouseVal >= 4.0,8.8154,135.0,188.2645,135,13.8455,135,171.7539,135.0,19.48,2.41,PASS
california_real,B_far,22,SELECT COUNT(*) FROM data WHERE place = 'Chula Vista' AND MedHouseVal >= 4.5,7.2039,110.0,190.6228,110,12.8159,110,173.7045,110.0,24.11,2.41,PASS
california_real,B_far,23,SELECT COUNT(*) FROM data WHERE place = 'Irvine' AND MedHouseVal BETWEEN 3.0 AND 5.0,10.7947,6488.0,170.0116,6488,22.3661,6488,171.477,6488.0,15.89,5.03,PASS
california_real,B_far,24,SELECT COUNT(*) FROM data WHERE place = 'Los Angeles' AND MedHouseVal BETWEEN 2.5 AND 4.5,93.8201,194078.0,177.9064,194078,97.9029,194078,158.3063,194078.0,1.69,29.48,PASS
california_real,B_far,25,SELECT COUNT(*) FROM data WHERE place = 'Los Angeles' AND HouseAge <= 10,152.0823,32104.0,179.9794,32104,135.4209,32104,163.9454,32104.0,1.08,45.95,PASS
california_real,B_far,26,SELECT COUNT(*) FROM data WHERE place = 'Los Angeles' AND HouseAge <= 20,158.3217,134773.0,171.9161,134773,134.6222,134773,174.1906,134773.0,1.1,45.95,PASS
california_real,B_far,27,SELECT COUNT(*) FROM data WHERE place = 'Los Angeles' AND HouseAge BETWEEN 10 AND 30,193.892,275091.0,203.4414,275091,126.733,275091,174.1693,275091.0,0.9,50.08,PASS
california_real,B_far,28,SELECT COUNT(*) FROM data WHERE place = 'Irvine' AND HouseAge >= 40,25.1305,533.0,187.2419,533,97.5437,533,167.872,533.0,6.68,9.54,PASS
california_real,B_far,29,SELECT COUNT(*) FROM data WHERE place = 'Chula Vista' AND HouseAge BETWEEN 20 AND 40,51.3509,13026.0,166.4564,13026,111.5999,13026,167.7982,13026.0,3.27,14.82,PASS
california_real,B_far,30,SELECT COUNT(*) FROM data WHERE place = 'Irvine' AND HouseAge <= 15,23.7807,8079.0,156.3462,8079,103.1039,8079,163.1823,8079.0,6.86,9.08,PASS
california_real,B_far,31,SELECT COUNT(*) FROM data WHERE place = 'Los Angeles' AND AveRooms BETWEEN 5.0 AND 8.0,122.7868,332598.0,175.5431,332598,121.0489,332598,165.3508,332598.0,1.35,38.93,PASS
california_real,B_far,32,SELECT COUNT(*) FROM data WHERE place = 'Los Angeles' AND AveRooms >= 6.0 AND AveBedrms <= 1.5,65.8346,154735.0,189.1504,154735,124.6058,154735,167.8997,154735.0,2.55,20.95,PASS
california_real,B_far,33,SELECT COUNT(*) FROM data WHERE place = 'Irvine' AND AveRooms >= 7.0,10.7646,3594.0,168.507,3594,133.0312,3594,192.2929,3594.0,17.86,2.98,PASS
california_real,B_far,34,SELECT COUNT(*) FROM data WHERE place = 'Chula Vista' AND AveRooms BETWEEN 4.0 AND 7.0 AND AveBedrms BETWEEN 1.0 AND 1.8,46.4719,11807.0,197.6139,11807,123.9874,11807,160.0396,11807.0,3.44,14.14,PASS
california_real,B_far,35,SELECT COUNT(*) FROM data WHERE place = 'Los Angeles' AND AveRooms >= 6.0 AND AveBedrms BETWEEN 1.0 AND 2.0,72.8379,118234.0,180.2615,118234,127.3619,118234,171.6165,118234.0,2.36,20.95,PASS
california_real,B_far,36,SELECT COUNT(*) FROM data WHERE place = 'Los Angeles' AND AveOccup <= 2.5,81.8748,181518.0,181.7189,181518,116.5062,181518,179.2751,181518.0,2.19,23.29,PASS
california_real,B_far,37,SELECT COUNT(*) FROM data WHERE place = 'Los Angeles' AND AveOccup <= 3.0,124.5782,384313.0,221.8974,384313,129.9203,384313,174.9346,384313.0,1.4,37.96,PASS
california_real,B_far,38,SELECT COUNT(*) FROM data WHERE place = 'Irvine' AND AveOccup <= 2.0,12.3945,3525.0,184.1107,3525,126.3175,3525,175.0979,3525.0,14.13,3.18,PASS
california_real,B_far,39,SELECT COUNT(*) FROM data WHERE place = 'Los Angeles' AND Population BETWEEN 200 AND 2000,213.5702,585110.0,195.9423,585110,143.4529,585110,168.5552,585110.0,0.79,59.29,PASS
california_real,B_far,40,SELECT COUNT(*) FROM data WHERE place = 'Chula Vista' AND Population BETWEEN 500 AND 3000,37.9517,19786.0,183.3797,19786,126.2314,19786,187.2101,19786.0,4.93,14.82,PASS
california_real,B_far,41,SELECT COUNT(*) FROM data WHERE place = 'Los Angeles' AND MedInc >= 7.0 AND MedHouseVal >= 3.0,46.9343,55539.0,183.5082,55539,20.0781,55539,172.2726,55539.0,3.67,13.43,PASS
california_real,B_far,42,SELECT COUNT(*) FROM data WHERE place = 'Los Angeles' AND MedInc >= 8.0 AND MedHouseVal >= 4.0,23.1037,29971.0,184.5123,29971,17.7802,29971,167.5605,29971.0,7.25,6.66,PASS
california_real,B_far,43,SELECT COUNT(*) FROM data WHERE place = 'Irvine' AND MedInc >= 9.0 AND MedHouseVal >= 4.0,6.3969,1371.0,184.5633,1371,11.1019,1371,166.3278,1371.0,26.0,1.41,PASS
california_real,B_far,44,SELECT COUNT(*) FROM data WHERE place = 'Chula Vista' AND MedInc >= 7.0 AND HouseAge <= 30,18.5084,194.0,173.4804,194,110.7131,194,158.4519,194.0,8.56,7.1,PASS
california_real,B_far,45,SELECT COUNT(*) FROM data WHERE place = 'Los Angeles' AND MedInc >= 8.0 AND AveRooms >= 5.0,105.4546,35625.0,191.1329,35625,86.0962,35625,177.8564,35625.0,1.69,28.05,PASS
